product_id,product_name,userID,userName,reviewTitle,positvity,publicScore,category
3,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop",3688,wiki,Its very small  do take note of that,0.1652,0.63617928126091,Computers&Accessories
978,"Dell USB Wireless Keyboard and Mouse Set- KM3322W, Anti-Fade & Spill-Resistant Keys, up to 36 Month Battery Life, 3Y Advance Exchange Warranty, Black",2113,Sidharrtha Jain,Ok product. Not so great.,0.0156,0.6350578939616278,Computers&Accessories
174,Canon PIXMA E477 All-in-One Wireless Ink Efficient Colour Printer (White/Blue),1095,Raghavan  CV.,Canon PIXMA E477 All-in-One Wireless Ink Efficient Colour Printer (White/Blue),0.1568,0.6347331003414804,Computers&Accessories
172,Redgear MP35 Speed-Type Gaming Mousepad (Black/Red),7515,Aman singh,Great mouse pad,0.9068,0.6340386885306526,Computers&Accessories
180,AmazonBasics USB Type-C to Micro-B 2.0 Cable - 6 Inches (15.2 Centimeters) - White,5203,Bikkee Bakchi,Wonderful,0.9062,0.6332049632648575,Computers&Accessories
281,Lenovo GX20L29764 65W Laptop Adapter/Charger with Power Cord for Select Models of Lenovo (Round pin) (Black),8571,Devendra Singh Rawat,Great Product,0.9064,0.6314472296926652,Computers&Accessories
325,"Wayona Nylon Braided Lightning USB Data Sync & 3A Charging Cable for iPhones, iPad Air, iPad Mini, iPod Nano and iPod Touch (3 FT Pack of 1, Grey)",5453,Pratik,Good product,0.892,0.6310147742033945,Computers&Accessories
321,"Wayona Nylon Braided (2 Pack) Lightning Fast Usb Data Cable Fast Charger Cord For Iphone, Ipad Tablet (3 Ft Pack Of 2, Grey)",1313,Khaja moin,Good product,0.892,0.6305029802782551,Computers&Accessories
612,"RPM Euro Games Laptop/PC Controller Wired for Windows - 7, 8, 8.1, 10 and XP, Ps3(Upgraded with XYAB Buttons)",3307,Aaqib,Great but.,0.2709,0.6292748385935234,Computers&Accessories
313,POPIO Type C Dash Charging USB Data Cable for OnePlus Devices,1826,Sai Tenish Harsha,Good,0.6098,0.6290684623869753,Computers&Accessories
122,Dell KB216 Wired Multimedia USB Keyboard with Super Quite Plunger Keys with Spill-Resistant – Black,4839,hanmandla raju,Good,0.6098,0.6279263832992674,Computers&Accessories
658,"Zoul Type C to Type C Fast Charging Cable 65W 2M/6ft USB C Nylon Braided Cord Compatible with MacBook Oneplus 9 9R Samsung Galaxy S21 Ultra S20+ (2M, Black)",2632,Abhay Goyal,Changing speed,0.1321,0.6269812616726544,Computers&Accessories
12,"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",7928,Akash Jindal,Great product,0.9309,0.6265150171554981,Computers&Accessories
366,"RC PRINT GI 790 Ink Refill for Canon G1000, G1010, G1100, G2000, G2002, G2010, G2012, G2100, G3000, G3010, G3012, G3100, G4000, G4010",5554,ABHISEK THAKUR,Very good ink as expected 😊,0.9763,0.6259983874982256,Computers&Accessories
364,"SaleOn™ Portable Storage Organizer Bag for Earphone USB Cable Power Bank Mobile Charger Digital Gadget Hard Disk, Water Resistance Material - Dark Grey",4293,Sacchidanand Pant,Pretty good product for the price (under ₹500),0.9673,0.6252246483454935,Computers&Accessories
1035,"Ambrane 60W / 3A Fast Charging Output Cable with Micro to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACM - AZ1, Black)",3137,Gowthami,Good,0.6098,0.6251765435334367,Computers&Accessories
1141,"Zebronics CU3100V Fast charging Type C cable with QC 18W support, 3A max capacity, 1 meter braided cable, Data transfer and Superior durability (Braided Black )",456,Srinu Jonnada,Nice product,0.8933,0.6237634917325254,Computers&Accessories
841,"Hi-Mobiler iPhone Charger Lightning Cable,2 Pack Apple MFi Certified USB iPhone Fast Chargering Cord,Data Sync Transfer for 13/12/11 Pro Max Xs X XR 8 7 6 5 5s iPad iPod More Model Cell Phone Cables",8160,Ankita Thakur,Average,0.1451,0.6233265394548801,Computers&Accessories
30,"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces (H2C21AA, Black/Grey)",7941,PRADEEP YADAV,Average mouse.,0.109,0.6210156075024498,Computers&Accessories
13,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",48,PRADEEP,Perfect working,0.7566,0.6206356348855735,Computers&Accessories
1173,"STRIFF Mpad Mouse Mat 230X190X3mm Gaming Mouse Pad, Non-Slip Rubber Base, Waterproof Surface, Premium-Textured, Compatible with Laser and Optical Mice(Universe Black)",4782,muhamad s.,Decent quality,0.4707,0.6202848244387298,Computers&Accessories
1034,"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, White)",1410,Shanti lal Gurjar,Thank you  Amazon very good charging cable,0.9837,0.6198943254656675,Computers&Accessories
250,Wacom One by CTL-472/K0-CX Digital Drawing Graphics Pen Tablet (Red & Black) Small (6-inch x 3.5-inch)(15x8cm) | Battery Free Cordless Pen with 2048 Pressure Level,5160,AMAL RAJ,Damaged within 4 months,0.0143,0.6194205018425598,Computers&Accessories
215,"AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)",5667,SD1908,Execellent,0.8747,0.6192343180742945,Computers&Accessories
516,"Belkin USB C to USB-C Fast Charging Type C Cable, 60W PD, 3.3 feet (1 meter) for Laptop, Personal Computer, Tablet, Smartphone - White, USB-IF Certified",6443,Amazon Customer,Worth the price.,0.2334,0.6188113483499442,Computers&Accessories
515,"Belkin Apple Certified Lightning To Type C Cable, Tough Unbreakable Braided Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",4761,anas,Better then original,0.4684,0.6187814034383856,Computers&Accessories
563,"Wayona USB Type C Fast Charging Cable Charger Cord 3A QC 3.0 Data Cable Compatible with Samsung Galaxy S10e S10 S9 S8 S20 Plus, Note 10 9 8, M51 A40 A50 A70, Moto G7 G8 (1M, Grey)",7540,shradha nair,Not the correct charger for Samsung S9,0.0496,0.6167828498842305,Computers&Accessories
842,"HP 150 Wireless USB Mouse with Ergonomic and ambidextrous Design, 1600 DPI Optical Tracking, 2.4 GHz Wireless connectivity, Dual-Function Scroll Wheel and 12 Month Long Battery Life. 3-Years Warranty.",5176,Gaurav Choudhary,Scroll wheel is extremely small,0.0249,0.6167226039609821,Computers&Accessories
479,"SanDisk Ultra Dual Drive Go USB Type C Pendrive for Mobile (Black, 128 GB, 5Y - SDDDC3-128G-I35)",5643,Ehsan Ul Haq,Storage issue,0.0419,0.6165658118700728,Computers&Accessories
959,"Gizga Essentials Webcam Cover, Privacy Protector Webcam Cover Slide, Compatible with Laptop, Desktop, PC, Smartphone, Protect Your Privacy and Security, Strong Adhesive, Set of 3, Black",7623,SNR,Awesome product,0.9613,0.6164812791848941,Computers&Accessories
170,Gizga Essentials Laptop Power Cable Cord- 3 Pin Adapter Isi Certified(1 Meter/3.3 Feet),2377,Bhasker, Cheap and works well,0.8298,0.6158906109463056,Computers&Accessories
708,"TVARA LCD Writing Tablet 8.5 Inch E-Note Pad LCD Writing Tablet, Kids Drawing Pad 8.5 Inch Doodle Board, Toddler Boy and Girl Learning Gift for 3 4 5 6 Years Old, Black",2974,Surendra verma,a best device for your child to make them intrested to study and practice.,0.8897,0.6157223372110503,Computers&Accessories
710,"ZEBRONICS Aluminium Alloy Laptop Stand, Compatible with 9-15.6 inch Laptops, 7 Angles Adjustable, Anti Slip Silicon Rubber Pads, Foldable, Velvet Pouch Inside, Zeb-NS2000 (Dark Grey)",7740,Kamaldeep Singh,Overall good product,0.9363,0.6157223372110503,Computers&Accessories
0,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",6183,Azhar JuMan,Works on linux for me. Get the model with antenna.,0.5094,0.6137078721814757,Computers&Accessories
518,"Belkin USB C to USB-C Fast Charging Type C Cable, 60W PD, 3.3 feet (1 meter) for Laptop, Personal Computer, Tablet, Smartphone - Black, USB-IF Certified",3455,Renga C,Happy with performance,0.963,0.6133772966948918,Computers&Accessories
272,boAt Rugged V3 Braided Micro USB Cable (Pearl White),4563,JD,Good one,0.8366,0.6119485150740318,Computers&Accessories
711,"Wayona Type C To Type C 65W/3.25A Nylon Braided Fast Charging Cable Compatible For Laptop, Macbook, Samsung Galaxy M33 M53 M51 S20 Ultra, A71, A53, A51, Ipad Pro 2018 (1M, Grey)",4660,virender, fast charging,0.3376,0.611373541038092,Computers&Accessories
946,"Lenovo USB A to Type-C Tangle-free  Aramid fiber braided 1.2m cable with 4A Fast charging & 480 MBPS data transmission, certified 10000+ bend lifespan, Metallic Grey",2114,YOGESH,Nice product working in Asus zen pro mobile,0.9467,0.6098748618104519,Computers&Accessories
